station,lat,lon,elv(m),unit,componet,response
4B.101..GP,31.78592,-106.22352,1226,m/s,"1,2,Z","1507118400.00000, 1507118400.00000, 1507118400.00000"
4B.102..GP,31.7036,-106.33703,1118,m/s,"1,2,Z","1507118400.00000, 1507118400.00000, 1507118400.00001"
4B.103..GP,31.85575,-106.52372,1345,m/s,"1,2,Z","1507118400.00000, 1507118400.00000, 1507118400.00002"
4B.104..GP,31.7987,-106.54338,1159,m/s,"1,2,Z","1507118400.00000, 1507118400.00000, 1507118400.00003"
4B.105..GP,31.62117,-106.27982,1113,m/s,"1,2,Z","1507118400.00000, 1507118400.00000, 1507118400.00004"
4B.106..GP,31.86317,-106.54792,1261,m/s,"1,2,Z","1507118400.00000, 1507118400.00000, 1507118400.00005"
4B.107..GP,31.75968,-106.48373,1146,m/s,"1,2,Z","1507118400.00000, 1507118400.00000, 1507118400.00006"
4B.108..GP,31.7719,-106.50648,1160,m/s,"1,2,Z","1507118400.00000, 1507118400.00000, 1507118400.00007"
4B.109..GP,31.75345,-106.48653,1138,m/s,"1,2,Z","1507118400.00000, 1507118400.00000, 1507118400.00008"
4B.110..GP,31.78133,-106.49904,1215,m/s,"1,2,Z","1507118400.00000, 1507118400.00000, 1507118400.00009"
4B.111..GP,31.7748,-106.45907,1138,m/s,"1,2,Z","1507118400.00000, 1507118400.00000, 1507118400.00010"
4B.112..GP,31.79598,-106.54527,1166,m/s,"1,2,Z","1507118400.00000, 1507118400.00000, 1507118400.00011"
4B.113..GP,31.7979,-106.54528,1162,m/s,"1,2,Z","1507118400.00000, 1507118400.00000, 1507118400.00012"
4B.114..GP,31.7792,-106.3186,1209,m/s,"1,2,Z","1507118400.00000, 1507118400.00000, 1507118400.00013"
4B.115..GP,31.739,-106.27523,1215,m/s,"1,2,Z","1507118400.00000, 1507118400.00000, 1507118400.00014"
4B.116..GP,31.67412,-106.28442,1107,m/s,"1,2,Z","1507118400.00000, 1507118400.00000, 1507118400.00015"
4B.117..GP,31.69102,-106.32775,1116,m/s,"1,2,Z","1507118400.00000, 1507118400.00000, 1507118400.00016"
4B.118..GP,31.67592,-106.24282,1176,m/s,"1,2,Z","1507118400.00000, 1507118400.00000, 1507118400.00017"
4B.119..GP,31.5915,-106.22598,1109,m/s,"1,2,Z","1507118400.00000, 1507118400.00000, 1507118400.00018"
4B.120..GP,31.58477,-106.27273,1110,m/s,"1,2,Z","1507118400.00000, 1507118400.00000, 1507118400.00019"
4B.121..GP,31.79828,-106.54173,1166,m/s,"1,2,Z","1507118400.00000, 1507118400.00000, 1507118400.00020"
4B.122..GP,31.68172,-106.17081,1222,m/s,"1,2,Z","1507118400.00000, 1507118400.00000, 1507118400.00021"
4B.123..GP,31.77455,-106.42145,1136,m/s,"1,2,Z","1507118400.00000, 1507118400.00000, 1507118400.00022"
4B.124..GP,31.50367,-106.15928,1100,m/s,"1,2,Z","1507118400.00000, 1507118400.00000, 1507118400.00023"
4B.125..GP,31.7401,-106.34132,1140,m/s,"1,2,Z","1507118400.00000, 1507118400.00000, 1507118400.00024"
4B.126..GP,31.7971,-106.53987,1176,m/s,"1,2,Z","1507118400.00000, 1507118400.00000, 1507118400.00025"
4B.127..GP,31.76893,-106.44842,1130,m/s,"1,2,Z","1507118400.00000, 1507118400.00000, 1507118400.00026"
